time,open,high,low,close,bar_index
1672531200,9.968,10.016,9.923,9.979,0
1672534800,9.98,10.06,9.97,10.032,1
1672538400,10.031,10.074,9.981,10.006,2
1672542000,10.005,10.005,9.894,9.957,3
1672545600,9.957,9.978,9.81,9.837,4
1672549200,9.837,9.847,9.711,9.786,5
1672552800,9.787,9.836,9.754,9.783,6
1672556400,9.784,9.789,9.678,9.782,7
1672560000,9.782,9.786,9.693,9.719,8
1672563600,9.718,9.81,9.717,9.8,9
1672567200,9.8,9.8,9.761,9.795,10
1672570800,9.794,9.975,9.794,9.915,11
1672574400,9.916,9.944,9.87,9.929,12
1672578000,9.93,9.955,9.813,9.842,13
1672581600,9.842,9.887,9.8,9.828,14
1672585200,9.828,9.857,9.781,9.848,15
1672588800,9.849,9.909,9.821,9.855,16
1672592400,9.855,9.945,9.852,9.93,17
1672596000,9.93,10.019,9.93,9.975,18
1672599600,9.976,10.04,9.919,9.945,19
1672603200,9.945,10.023,9.926,9.959,20
1672606800,9.959,9.986,9.928,9.962,21
1672610400,9.962,10,9.952,9.96,22
1672614000,9.961,10.048,9.934,9.977,23
1672617600,9.977,9.977,9.862,9.896,24
1672621200,9.896,9.923,9.796,9.831,25
1672624800,9.83,9.924,9.81,9.9,26
1672628400,9.9,10.008,9.87,9.977,27
1672632000,9.977,10.02,9.942,9.965,28
1672635600,9.966,9.987,9.927,9.975,29
1672639200,9.975,9.995,9.939,9.97,30
1672642800,9.969,12.067,9.966,11.083,31
1672646400,11.084,11.36,10.991,11.178,32
1672650000,11.178,11.244,11.031,11.137,33
1672653600,11.137,11.138,10.832,11.047,34
1672657200,11.047,11.049,10.9,11.007,35
1672660800,11.008,11.2,10.998,11.081,36
1672664400,11.081,11.14,11.036,11.097,37
1672668000,11.096,11.184,11.072,11.11,38
1672671600,11.11,11.234,11.054,11.108,39
1672675200,11.107,11.174,11.078,11.098,40
1672678800,11.098,11.155,11.07,11.136,41
1672682400,11.136,11.195,11.121,11.124,42
1672686000,11.125,11.5,11.102,11.244,43
1672689600,11.244,11.331,11.172,11.309,44
1672693200,11.31,11.406,11.264,11.349,45
1672696800,11.349,11.396,11.204,11.259,46
1672700400,11.259,11.316,11.224,11.259,47
1672704000,11.259,11.324,11.147,11.278,48
1672707600,11.279,11.3,11,11.064,49
1672711200,11.064,11.165,11.045,11.13,50
1672714800,11.131,11.217,11.069,11.199,51
1672718400,11.2,11.38,11.189,11.263,52
1672722000,11.264,11.773,11.258,11.729,53
1672725600,11.728,11.91,11.672,11.717,54
1672729200,11.716,11.939,11.673,11.881,55
1672732800,11.881,11.96,11.668,11.74,56
1672736400,11.739,11.833,11.706,11.798,57
1672740000,11.798,11.912,11.772,11.835,58
1672743600,11.834,11.98,11.785,11.81,59
1672747200,11.81,11.853,11.75,11.802,60
1672750800,11.802,12.106,11.802,11.948,61
1672754400,11.947,12.432,11.947,12.154,62
1672758000,12.155,12.889,12.135,12.819,63
1672761600,12.819,13.879,12.641,12.978,64
1672765200,12.978,13.177,12.721,12.849,65
1672768800,12.849,12.938,12.675,12.883,66
1672772400,12.883,13.13,12.816,12.896,67
1672776000,12.896,13.158,12.895,13.033,68
1672779600,13.032,13.317,12.947,13.198,69
1672783200,13.197,13.482,13,13.313,70
1672786800,13.314,13.357,13.187,13.326,71
1672790400,13.326,13.777,13.175,13.457,72
1672794000,13.457,13.62,13.288,13.543,73
1672797600,13.544,13.854,13.543,13.641,74
1672801200,13.641,14,13.334,13.435,75
1672804800,13.436,13.496,13.21,13.302,76
1672808400,13.302,13.629,13.28,13.624,77
1672812000,13.624,13.87,13.542,13.835,78
